Player,Club,Games_2006,Goals_2006,Games_2010,Goals_2010,Games_2014,Goals_2014
Cristiano Ronaldo,Manchester United/Real Madrid,53,23,54,53,54,61
Lionel Messi,Barcelona,36,17,55,53,57,58
Sergio Ramos,Real Madrid,42,6,46,4,42,7
Rafael Márquez,Barcelona/New York Red Bulls/León/Hellas Verona,37,2,12,1,31,0
Xavi,Barcelona,54,6,50,5,44,2
Andrés Iniesta,Barcelona,56,9,50,9,42,3
Andrés Guardado,Atlas/Deportivo La Coruña/PSV,38,5,20,2,35,1
Valon Behrami,Lazio/West Ham United/Hamburger SV,17,1,25,2,22,0
Tim Cahill,Everton/New York Red Bulls,21,7,28,9,29,3
Miroslav Klose,Werder Bremen/Bayern Munich/Lazio,47,15,27,6,40,16
Philipp Lahm,Bayern Munich,48,1,48,3,33,2
Bastian Schweinsteiger,Bayern Munich,40,6,45,8,28,5
