Player,Country,Appearances_2006,Goals_2006,Appearances_2010,Goals_2010,Appearances_2014,Goals_2014
Cristiano Ronaldo,Portugal,14,6,11,3,9,5
Lionel Messi,Argentina,7,2,10,2,14,8
Sergio Ramos,Spain,13,0,16,1,9,1
Rafael Márquez,Mexico,6,1,11,1,9,2
Xavi,Spain,10,2,15,0,3,0
Andrés Iniesta,Spain,8,0,15,3,8,1
Andrés Guardado,Mexico,6,0,15,1,12,1
Valon Behrami,Switzerland,4,0,3,0,11,0
Tim Cahill,Australia,8,3,9,2,10,7
Miroslav Klose,Germany,17,13,12,10,7,3
Philipp Lahm,Germany,15,1,12,1,9,0
Bastian Schweinsteiger,Germany,18,9,12,2,8,0
